week,job_title_raw,job_title_clean,company,location,seek_domain,seek_work_nature,seek_seniority,seek_confidence,mapper_domain,mapper_work_nature,mapper_seniority,mapper_confidence_pct,matched_keywords,flags,needs_review,domain_match
2026_W15,Dispatch Administrator,Dispatch Administrator,StraitNZ,"Te Rapa, Waikato",Transport,Specialist / Support,2. Intermediate / Staff,Medium,Transport,Specialist / Support,2. Intermediate / Staff,72,dispatch,Description is short — output is based mainly on title text,,✓
2026_W15,Graduate Logistics Cadet,Graduate Logistics Cadet,Private Advertiser,"Mount Wellington, Auckland",Operations,Operational,1. Junior / Entry,High,Operations,Operational,1. Junior / Entry,72,logistics,Description is short — output is based mainly on title text,,✓
2026_W15,"Sea Logistics Reefer Operational Care Manager, Cooltainer","Sea Logistics Reefer Operational Care Manager, Cooltainer",Kuehne + Nagel,"Christchurch Central, Canterbury",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,72,logistics,Description is short — output is based mainly on title text,,✓
2026_W15,Accounts Payable Officer,Accounts Payable Officer,J. A. Russell Ltd,"Grafton, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,88,"accounts payable, accounts",Description is short — output is based mainly on title text,,✓
2026_W15,Production Supervisor,Production Supervisor,Recruitnet Consulting Group Ltd,"Cambridge, Waikato",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,72,production,Description is short — output is based mainly on title text,,✓
2026_W15,Freight Handler,Freight Handler,Post Haste,"Taupo Central, Waikato",Freight Forwarding,Operational,1. Junior / Entry,Medium,Freight Forwarding,Operational,1. Junior / Entry,72,freight,Description is short — output is based mainly on title text,,✓
2026_W15,Supply Coordinator,Supply Coordinator,Salus Aviation Limited,"Ardmore, Auckland",Operations,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Operations Manager,Operations Manager,Tribe (New Zealand) Limited,"Wiri, Auckland",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W15,Upper North Island Sales Representative,Upper North Island Sales Representative,Matthews Packaging & Hygiene,"Auckland Airport, Auckland",Sales,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,80,"sales, representative",Description is short — output is based mainly on title text,,✓
2026_W15,Logistics Manager,Logistics Manager,Steel&Tube Holdings Ltd,"East Tamaki, Auckland",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,88,"logistics manager, logistics",Description is short — output is based mainly on title text,,✓
2026_W15,Operations Supervisor,Operations Supervisor,JJ Richards & Sons Ltd,"Wiri, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations supervisor,Description is short — output is based mainly on title text,,✓
2026_W15,Driver/Warehouse - Sydenham,Driver/Warehouse,Ideal Electrical Suppliers,"Christchurch Central, Canterbury",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,62,warehouse,Description is short — output is based mainly on title text,Yes,✓
2026_W15,Finance Analyst,Finance Analyst,George Weston Foods (NZ) Limited,"Otahuhu, Auckland",Finance,Specialist / Support,4. Expert / Specialist,Medium,Finance,Specialist / Support,4. Expert / Specialist,72,finance,Description is short — output is based mainly on title text,,✓
2026_W15,Kiwifruit Seasonal Work - Tauranga Port,Kiwifruit Seasonal Work,Qube Ports NZ,"Tauranga Central, Bay of Plenty",Other/Noise,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,kiwifruit,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✓
2026_W15,Warehouse Assistant - Inbound,Warehouse Assistant,NXP Limited,"East Tamaki, Auckland",Warehouse,Specialist / Support,1. Junior / Entry,Medium,Warehouse,Operational,1. Junior / Entry,88,"warehouse assistant, warehouse",Description is short — output is based mainly on title text,,✓
2026_W15,Freight Sorter - Casual,Freight Sorter,New Zealand Couriers,"Mangakakahi, Bay of Plenty",Freight Forwarding,Operational,1. Junior / Entry,Medium,Freight Forwarding,Operational,2. Intermediate / Staff,72,freight,Description is short — output is based mainly on title text,,✓
2026_W15,Warehouse Assistant,Warehouse Assistant,AWF,"Wiri, Auckland",Warehouse,Specialist / Support,1. Junior / Entry,Medium,Warehouse,Operational,1. Junior / Entry,88,"warehouse assistant, warehouse",Description is short — output is based mainly on title text,,✓
2026_W15,Part Time Revenue Recovery Agent,Part Time Revenue Recovery Agent,Post Haste,"Hamilton Central, Waikato",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Warehouse Storeperson,Warehouse Storeperson,Windsor Doors Limited,"Islington, Canterbury",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,80,"warehouse, storeperson",Description is short — output is based mainly on title text,,✓
2026_W15,Dispatch Worker,Dispatch Worker,SPL | NZ GREENHOUSE SPECIALISTS,"Warkworth, Auckland",Transport,Operational,2. Intermediate / Staff,Medium,Transport,Operational,2. Intermediate / Staff,72,dispatch,Description is short — output is based mainly on title text,,✓
2026_W15,Imports Customer Service,Imports Customer Service,Fred Recruitment,"East Tamaki, Auckland",Freight Forwarding,Specialist / Support,2. Intermediate / Staff,High,Sales,Specialist / Support,2. Intermediate / Staff,80,customer service,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Production & Dispatch Assistant,Production & Dispatch Assistant,TMK Packers,"East Tamaki, Auckland",Transport,Specialist / Support,1. Junior / Entry,High,Transport,Operational,1. Junior / Entry,62,dispatch,Description is short — output is based mainly on title text,Yes,✓
2026_W15,Warehouse Picker,Warehouse Picker,Cardinal Logistics,"Christchurch Central, Canterbury",Warehouse,Operational,1. Junior / Entry,Medium,Warehouse,Operational,1. Junior / Entry,80,"warehouse, picker",Description is short — output is based mainly on title text,,✓
2026_W15,Storeperson,Storeperson,Stellar Recruitment,"Takanini, Auckland",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,72,storeperson,Description is short — output is based mainly on title text,,✓
2026_W15,Tenancy Operations Manager,Tenancy Operations Manager,Te Ahuru Mowai,"Porirua, Wellington",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W15,Delivery Driver / Warehouse /cleaning Part Time,Delivery Driver,Mr Rental,"Sockburn, Canterbury",Transport,Operational,2. Intermediate / Staff,High,Transport,Operational,2. Intermediate / Staff,80,"delivery, driver",Description is short — output is based mainly on title text,,✓
2026_W15,Warehouse Team Member - Night Shift,Warehouse Team Member,Gilmours Wholesale Food & Beverage,"Tauranga, Bay of Plenty",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,72,warehouse,Description is short — output is based mainly on title text,,✓
2026_W15,SmartComm Business Analyst,SmartComm Business Analyst,Tenzing Ltd,"Auckland CBD, Auckland",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W15,Driver/Warehouse Person – Queenstown Branch,Driver/Warehouse Person,J. A. Russell Ltd,"Queenstown, Otago",Warehouse,Operational,2. Intermediate / Staff,Medium,Warehouse,Operational,2. Intermediate / Staff,62,warehouse,Description is short — output is based mainly on title text,Yes,✓
2026_W15,Night Shift Freight Loader,Night Shift Freight Loader,MOVe Group,"Christchurch Central, Canterbury",Freight Forwarding,Operational,2. Intermediate / Staff,Medium,Freight Forwarding,Operational,2. Intermediate / Staff,72,freight,Description is short — output is based mainly on title text,,✓
2026_W15,Decon (HAS),Decon,New Zealand Couriers,"Hastings, Hawkes Bay",Operations,Operational,1. Junior / Entry,High,Operations,Operational,2. Intermediate / Staff,72,decon,Description is short — output is based mainly on title text,,✓
2026_W15,Head of Operations,Head of Operations,Tribe (New Zealand) Limited,"Penrose, Auckland",Operations,Management,5. Executive / Strategic,Medium,Operations,Management,5. Executive / Strategic,88,head of operations,Description is short — output is based mainly on title text,,✓
2026_W15,Campus Operations Coordinator,Campus Operations Coordinator,UP Education Limited,"Auckland CBD, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations coordinator,Description is short — output is based mainly on title text,,✓
2026_W15,Processing Officer,Processing Officer,NZ Post,"Tauranga Central, Bay of Plenty",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Operations,Specialist / Support,2. Intermediate / Staff,72,process,Description is short — output is based mainly on title text,,✓
2026_W15,Business Analyst - Enterprise Solutions Programme,Business Analyst,Gisborne District Council,"Gisborne Central, Gisborne",Planning,Specialist / Support,4. Expert / Specialist,Medium,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W15,Workforce Strategy Manager - Cargo Operations,Workforce Strategy Manager,Air New Zealand,"Auckland Airport, Auckland",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,80,workforce strategy,Description is short — output is based mainly on title text,,✓
2026_W15,Digital Analyst,Digital Analyst,Hamilton City Council,"Hamilton Central, Waikato",Pending Review,Specialist / Support,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
